

/Gem Systems GSM-19GW 4046514 v7.0 4 IV 2013 M ew5fl.v7o                          
/ID 45142 file 01survey.wg  15 II 00
/00050 sensor distance cm 
/X Y nT nT/m sq cor-nT time picket-x picket-y 
 410  200  21150.98  2255.98 09 * 193017.0 * * 
 400  200  21204.98  2945.76 09 * 193017.5  4  2 
 390  200  23035.22  7131.28 09 * 193018.0 * * 
 380  200  20792.37  2358.22 09 * 193018.5 * * 
 370  200  22862.13  7061.62 09 * 193019.0 * * 
 360  200  20332.80  1111.22 09 * 193019.5 * * 
 350  200  19386.87  0339.08 09 * 193020.0 * * 
 340  200  18853.93 -1919.36 09 * 193020.5 * * 
 330  200  18953.55 -0576.82 09 * 193021.0 * * 
 320  200  17496.88 -3412.10 09 * 193021.5 * * 
 310  200  20166.03  0749.76 09 * 193022.0 * * 
 300  200  19515.91 -1082.94 09 * 193022.5  3  2 
 275  200  18654.12 -1052.86 09 * 193023.0 * * 
 250  200  20291.92  0440.58 09 * 193023.5 * * 
 225  200  17812.25 -4289.84 09 * 193024.0 * * 
 200  200  20288.23  0778.54 09 * 193024.5  2  2 
 193  200  19702.48  0510.10 09 * 193025.0 * * 
 186  200  21765.09  3785.86 09 * 193025.5 * * 
 179  200  19068.40 -1535.94 09 * 193026.0 * * 
 172  200  21198.82  2555.74 09 * 193026.5 * * 
 165  200  19463.09  1296.26 09 * 193027.0 * * 
 158  200  21819.05  3909.02 09 * 193027.5 * * 
 150  200  18988.52 -0577.58 09 * 193028.0 * * 
 143  200  23070.82  7296.60 09 * 193028.5 * * 
 136  200  19135.88 -0528.66 09 * 193029.0 * * 
 129  200  21349.84  2957.44 09 * 193029.5 * * 
 122  200  17313.25 -3147.02 09 * 193030.0 * * 
 115  200  21120.15  2335.00 09 * 193030.5 * * 
 108  200  18499.98 -1206.42 09 * 193031.0 * * 
 100  200  22721.45  5710.54 09 * 193031.5  1  2 
 88  200  19718.26  0993.18 09 * 193032.0 * * 
 75  200  19143.49 -0559.84 09 * 193032.5 * * 
 63  200  18792.91 -1163.72 09 * 193033.0 * * 
 50  200  19950.67  0024.20 09 * 193033.5 * * 
 38  200  19237.24 -1255.98 09 * 193034.0 * * 
 25  200  17505.75 -3943.26 09 * 193034.5 * * 
 13  200  18077.02 -3299.32 09 * 193035.0 * * 
 0  200  19173.67 -1477.46 09 * 193035.5  0  2 
 12  200  18861.99 -1900.44 09 * 193036.0 * * 
 25  200  17582.08 -4064.84 09 * 193036.5 * * 
 37  200  19220.82 -0294.94 09 * 193037.0 * * 
 50  200  19592.76  1082.40 09 * 193037.5 * * 
 62  200  19071.40  1189.92 09 * 193038.0 * * 
 75  200  19259.01 -0680.88 09 * 193038.5 * * 
 87  200  20398.48  1372.02 09 * 193039.0 * * 
-100  200  17553.89 -5167.72 09 * 193039.5 -1  2 
