
Append with new capture


/Gem Systems GSM-19GW 4046514 v7.0 4 IV 2013 M ew5fl.v7o                          
/ID 45142 file 01survey.b   16 VII25
/datum  49000.00
/ 051.7627556   014.3228212 
/UTC


/Gem Systems GSM-19GW 4046514 v7.0 4 IV 2013 M ew5fl.v7o                          
/ID 45142 file 02survey.b   22 VII25
/datum  49000.00
/ 051.7740993   014.2785475 
/UTC
/time nT sq 
093255.0  49825.20 99 
093256.0  49825.19 99 
093257.0  49825.09 99 
093258.0  49825.01 99 
093259.0  49824.83 99 
093300.0  49824.72 99 
093301.0  49824.56 99 
093302.0  49824.44 99 
093303.0  49824.25 99 
093304.0  49824.21 99 
093305.0  49824.15 99 
093306.0  49824.06 99 
093307.0  49824.04 99 
093308.0  49824.34 99 
093309.0  49824.42 99 
093310.0  49824.46 99 
093311.0  49824.47 99 
093312.0  49824.54 99 
093313.0  49824.58 99 
093314.0  49824.85 99 
093315.0  49825.02 99 
093316.0  49825.09 99 
093317.0  49825.07 99 
093318.0  49825.06 99 
093319.0  49825.02 99 
093320.0  49825.28 99 
093321.0  49825.40 99 
093322.0  49825.26 99 
093323.0  49825.22 99 
093324.0  49825.28 99 
093325.0  49825.32 99 
093326.0  49825.32 99 
093327.0  49825.27 99 
093328.0  49825.35 99 
093329.0  49825.37 99 
093330.0  49825.34 99 
093331.0  49825.31 99 
093332.0  49825.20 99 
093333.0  49825.11 99 
093334.0  49825.02 99 
093335.0  49825.09 99 
093336.0  49825.09 99 
093337.0  49825.00 99 
093338.0  49824.96 99 
093339.0  49824.93 99 
093340.0  49824.83 99 
093341.0  49824.76 99 
093342.0  49824.73 99 
093343.0  49824.66 99 
093344.0  49824.59 99 
093345.0  49824.62 99 
093346.0  49824.61 99 
093347.0  49824.58 99 
093348.0  49824.62 99 
093349.0  49824.71 99 
093350.0  49824.76 99 
093351.0  49825.01 99 
093352.0  49825.02 99 
093353.0  49824.93 99 
093354.0  49824.77 99 
093355.0  49824.62 99 
093356.0  49824.68 99 
093357.0  49824.62 99 
093358.0  49824.56 99 
093359.0  49824.71 99 
093400.0  49825.21 99 
093401.0  49825.31 99 
093402.0  49825.35 99 
093403.0  49825.17 99 
093404.0  49825.10 99 
093405.0  49825.08 99 
093406.0  49825.01 99 
093407.0  49825.04 99 
093408.0  49825.13 99 
093409.0  49825.22 99 
093410.0  49825.18 99 
093411.0  49824.92 99 
093412.0  49824.62 99 
093413.0  49824.50 99 
093414.0  49824.50 99 
093415.0  49824.67 99 
093416.0  49824.76 99 
093417.0  49824.78 99 
093418.0  49824.99 99 
093419.0  49825.21 99 
093420.0  49825.30 99 
093421.0  49825.44 99 
093422.0  49825.58 99 
093423.0  49825.62 99 
093424.0  49825.57 99 
093425.0  49825.49 99 
093426.0  49825.46 99 
093427.0  49825.43 99 
093428.0  49825.41 99 
093429.0  49825.34 99 
093430.0  49825.36 99 
093431.0  49825.34 99 
093432.0  49825.32 99 
093433.0  49825.25 99 
093434.0  49825.07 99 
093435.0  49824.99 99 
093436.0  49825.12 99 
093437.0  49825.14 99 
093438.0  49825.14 99 
093439.0  49824.95 99 
093440.0  49824.84 99 
093441.0  49824.83 99 
093442.0  49824.75 99 
093443.0  49824.72 99 
