X,Y,Z,Resistivity,Easting,Northing,Profile
116.5,0.0,-0.094,167.06,464703.0128205128,5754387.915384616,9
117.5,0.0,-0.094,168.27,464702.9871794872,5754386.884615385,9
118.5,0.0,-0.094,167.48,464702.9615384616,5754385.853846154,9
119.5,0.0,-0.094,170.26,464702.9358974359,5754384.823076923,9
120.5,0.0,-0.094,167.05,464702.9102564103,5754383.792307693,9
121.5,0.0,-0.094,168.46,464702.8846153846,5754382.761538462,9
122.5,0.0,-0.094,161.83,464702.858974359,5754381.730769231,9
123.5,0.0,-0.094,161.94,464702.8333333333,5754380.7,9
124.5,0.0,-0.094,159.17,464702.8076923077,5754379.669230769,9
125.5,0.0,-0.094,150.71,464702.78205128206,5754378.638461539,9
126.5,0.0,-0.094,159.0,464702.7564102565,5754377.607692308,9
127.5,0.0,-0.094,151.37,464702.7307692308,5754376.576923077,9
128.5,0.0,-0.094,165.21,464702.7051282051,5754375.546153846,9
129.5,0.0,-0.094,163.58,464702.6794871795,5754374.515384615,9
130.5,0.0,-0.094,168.38,464702.6538461539,5754373.484615385,9
131.5,0.0,-0.094,175.91,464702.6282051282,5754372.453846154,9
132.5,0.0,-0.094,171.89,464702.60256410256,5754371.423076923,9
133.5,0.0,-0.094,172.38,464702.57692307694,5754370.392307692,9
134.5,0.0,-0.094,177.74,464702.5512820513,5754369.361538461,9
135.5,0.0,-0.094,178.61,464702.5256410256,5754368.330769231,9
136.5,0.0,-0.094,168.18,464702.5,5754367.3,9
137.5,0.0,-0.094,178.71,464702.4743589744,5754366.269230769,9
138.5,0.0,-0.094,178.71,464702.4487179487,5754365.238461538,9
139.5,0.0,-0.094,181.96,464702.4230769231,5754364.207692307,9
2.5,0.0,-0.188,23616.0,464705.9358974359,5754505.423076923,9
3.5,0.0,-0.188,7654.7998,464705.9102564103,5754504.392307692,9
4.5,0.0,-0.188,13034.0,464705.8846153846,5754503.361538461,9
5.5,0.0,-0.188,12943.0,464705.858974359,5754502.330769231,9
6.5,0.0,-0.188,11979.0,464705.8333333333,5754501.3,9
7.5,0.0,-0.188,6283.7002,464705.8076923077,5754500.269230769,9
8.5,0.0,-0.188,22229.0,464705.78205128206,5754499.238461538,9
9.5,0.0,-0.188,10533.0,464705.7564102565,5754498.207692307,9
10.5,0.0,-0.188,6313.0,464705.7307692308,5754497.176923077,9
11.5,0.0,-0.188,6285.8999,464705.7051282051,5754496.146153846,9
12.5,0.0,-0.188,8494.7002,464705.6794871795,5754495.115384615,9
13.5,0.0,-0.188,5066.7002,464705.6538461539,5754494.084615384,9
14.5,0.0,-0.188,4710.7002,464705.6282051282,5754493.053846153,9
15.5,0.0,-0.188,5224.6001,464705.60256410256,5754492.023076923,9
16.5,0.0,-0.188,3813.7,464705.57692307694,5754490.992307693,9
17.5,0.0,-0.188,3842.8999,464705.5512820513,5754489.961538462,9
18.5,0.0,-0.188,3776.8999,464705.5256410256,5754488.930769231,9
19.5,0.0,-0.188,3823.8,464705.5,5754487.9,9
20.5,0.0,-0.188,4387.6001,464705.4743589744,5754486.86923077,9
21.5,0.0,-0.188,10951.0,464705.4487179487,5754485.838461539,9
22.5,0.0,-0.188,2458.0,464705.4230769231,5754484.807692308,9
23.5,0.0,-0.188,4124.2002,464705.39743589744,5754483.776923077,9
24.5,0.0,-0.188,3193.6001,464705.3717948718,5754482.746153846,9
25.5,0.0,-0.188,422.74,464705.3461538461,5754481.715384616,9
26.5,0.0,-0.188,606.99,464705.3205128205,5754480.684615385,9
27.5,0.0,-0.188,161.8,464705.2948717949,5754479.653846154,9
28.5,0.0,-0.188,163.62,464705.2692307693,5754478.623076923,9
29.5,0.0,-0.188,233.92,464705.2435897436,5754477.592307692,9
30.5,0.0,-0.188,154.59,464705.21794871794,5754476.561538462,9
31.5,0.0,-0.188,198.74,464705.1923076923,5754475.530769231,9
32.5,0.0,-0.188,171.44,464705.1666666667,5754474.5,9
33.5,0.0,-0.188,190.98,464705.141025641,5754473.469230769,9
34.5,0.0,-0.188,201.51,464705.1153846154,5754472.438461538,9
35.5,0.0,-0.188,189.04,464705.08974358975,5754471.407692308,9
36.5,0.0,-0.188,192.62,464705.0641025641,5754470.376923077,9
37.5,0.0,-0.188,193.18,464705.0384615384,5754469.346153846,9
38.5,0.0,-0.188,193.78,464705.0128205128,5754468.315384615,9
39.5,0.0,-0.188,179.57,464704.9871794872,5754467.284615384,9
40.5,0.0,-0.188,196.5,464704.9615384616,5754466.253846154,9
41.5,0.0,-0.188,186.42,464704.9358974359,5754465.223076923,9
42.5,0.0,-0.188,191.18,464704.9102564103,5754464.192307692,9
43.5,0.0,-0.188,188.19,464704.8846153846,5754463.161538461,9
44.5,0.0,-0.188,180.69,464704.858974359,5754462.13076923,9
45.5,0.0,-0.188,188.51,464704.8333333333,5754461.1,9
46.5,0.0,-0.188,173.96,464704.8076923077,5754460.069230769,9
47.5,0.0,-0.188,176.19,464704.78205128206,5754459.038461538,9
48.5,0.0,-0.188,178.73,464704.7564102565,5754458.007692307,9
49.5,0.0,-0.188,174.05,464704.7307692308,5754456.976923077,9
50.5,0.0,-0.188,165.68,464704.7051282051,5754455.946153847,9
51.5,0.0,-0.188,178.61,464704.6794871795,5754454.915384616,9
52.5,0.0,-0.188,159.06,464704.6538461539,5754453.884615385,9
53.5,0.0,-0.188,153.42,464704.6282051282,5754452.853846154,9
54.5,0.0,-0.188,166.79,464704.60256410256,5754451.823076923,9
55.5,0.0,-0.188,166.91,464704.57692307694,5754450.792307693,9
56.5,0.0,-0.188,162.39,464704.5512820513,5754449.761538462,9
57.5,0.0,-0.188,162.72,464704.5256410256,5754448.730769231,9
58.5,0.0,-0.188,172.66,464704.5,5754447.7,9
59.5,0.0,-0.188,167.09,464704.4743589744,5754446.669230769,9
60.5,0.0,-0.188,166.54,464704.4487179487,5754445.638461539,9
61.5,0.0,-0.188,170.26,464704.4230769231,5754444.607692308,9
62.5,0.0,-0.188,170.68,464704.39743589744,5754443.576923077,9
63.5,0.0,-0.188,170.04,464704.3717948718,5754442.546153846,9
64.5,0.0,-0.188,172.54,464704.3461538461,5754441.515384615,9
65.5,0.0,-0.188,173.56,464704.3205128205,5754440.484615385,9
66.5,0.0,-0.188,174.35,464704.2948717949,5754439.453846154,9
67.5,0.0,-0.188,174.12,464704.2692307693,5754438.423076923,9
68.5,0.0,-0.188,179.14,464704.2435897436,5754437.392307692,9
69.5,0.0,-0.188,178.05,464704.21794871794,5754436.361538461,9
70.5,0.0,-0.188,179.39,464704.1923076923,5754435.330769231,9
71.5,0.0,-0.188,180.69,464704.1666666667,5754434.3,9
72.5,0.0,-0.188,170.73,464704.141025641,5754433.269230769,9
73.5,0.0,-0.188,180.54,464704.1153846154,5754432.238461538,9
74.5,0.0,-0.188,165.27,464704.08974358975,5754431.207692307,9
75.5,0.0,-0.188,166.93,464704.0641025641,5754430.176923077,9
76.5,0.0,-0.188,167.1,464704.0384615384,5754429.146153846,9
77.5,0.0,-0.188,167.74,464704.0128205128,5754428.115384615,9
78.5,0.0,-0.188,171.01,464703.9871794872,5754427.084615384,9
79.5,0.0,-0.188,167.01,464703.9615384616,5754426.053846153,9
80.5,0.0,-0.188,205.99,464703.9358974359,5754425.023076923,9
