sondeo,survey,profile_number,order,line_id,point_index,lat,lon,elev_m,TMI_nT,gradient_nT_per_m
1,Survey1,55,3,S1_P55_O3,20,51.7631188,14.3368681,72.0,24073.18,-9999.99
1,Survey1,55,3,S1_P55_O3,21,51.7631281,14.3368666,73.0,18101.22,-9999.99
1,Survey1,55,3,S1_P55_O3,22,51.7631336,14.3368658,73.0,24161.5,-9999.99
1,Survey1,55,3,S1_P55_O3,23,51.7631391,14.3368651,73.0,17844.39,-9999.99
1,Survey1,55,3,S1_P55_O3,24,51.7631469,14.3368639,73.0,24161.64,-9999.99
1,Survey1,55,3,S1_P55_O3,25,51.7631548,14.3368627,73.0,17902.99,-9999.99
1,Survey1,55,3,S1_P55_O3,26,51.7631616,14.3368618,73.0,24442.67,-9999.99
1,Survey1,55,3,S1_P55_O3,27,51.7631685,14.336861,74.0,18368.22,-9999.99
1,Survey1,55,3,S1_P55_O3,28,51.7631746,14.3368581,74.0,24073.55,-9999.99
1,Survey1,55,3,S1_P55_O3,29,51.7631808,14.3368553,74.0,18607.31,-9999.99
1,Survey1,55,3,S1_P55_O3,30,51.7631874,14.3368538,74.0,24060.07,-9999.99
1,Survey1,55,3,S1_P55_O3,31,51.7631941,14.3368523,74.0,17795.13,-9999.99
1,Survey1,55,3,S1_P55_O3,32,51.7631998,14.3368513,74.0,24451.6,-9999.99
1,Survey1,55,3,S1_P55_O3,33,51.7632056,14.3368503,74.0,18208.04,-9999.99
1,Survey1,55,3,S1_P55_O3,34,51.7632112,14.3368496,74.0,24107.96,-9999.99
1,Survey1,55,3,S1_P55_O3,35,51.7632169,14.336849,74.0,18107.16,-9999.99
1,Survey1,55,3,S1_P55_O3,36,51.7632173,14.3368506,74.0,24480.08,-9999.99
1,Survey1,55,3,S1_P55_O3,37,51.7632177,14.3368522,73.0,17704.52,-9999.99
1,Survey1,55,3,S1_P55_O3,38,51.7632183,14.3368535,73.0,24009.07,-9999.99
1,Survey1,55,3,S1_P55_O3,39,51.7632189,14.3368548,73.0,17740.01,-9999.99
1,Survey1,55,3,S1_P55_O3,40,51.7632198,14.3368544,73.0,24032.82,-9999.99
1,Survey1,55,3,S1_P55_O3,41,51.7632208,14.336854,73.0,17800.48,-9999.99
